DateStart;DateTimeStart;SUM_of_IsDP
01JUN2026;01JUN2026:09:16:49.415000;1
01JUN2026;01JUN2026:09:17:56.765000;1
01JUN2026;01JUN2026:09:18:01.958000;1
01JUN2026;01JUN2026:09:19:35.813000;1
01JUN2026;01JUN2026:09:19:46.903000;1
01JUN2026;01JUN2026:09:22:35.544000;1
01JUN2026;01JUN2026:09:22:51.039000;1
01JUN2026;01JUN2026:09:23:23.845000;1
01JUN2026;01JUN2026:09:24:05.524000;1
01JUN2026;01JUN2026:09:24:44.751000;1
01JUN2026;01JUN2026:09:25:03.071000;1
01JUN2026;01JUN2026:09:25:09.950000;1
01JUN2026;01JUN2026:09:25:10.447000;1
01JUN2026;01JUN2026:09:25:15.081000;1
01JUN2026;01JUN2026:09:25:48.461000;1
01JUN2026;01JUN2026:09:26:09.203000;1
01JUN2026;01JUN2026:09:26:32.738000;1
01JUN2026;01JUN2026:09:26:33.629000;1
01JUN2026;01JUN2026:09:26:38.358000;1
01JUN2026;01JUN2026:09:27:46.169000;1
01JUN2026;01JUN2026:09:28:19.849000;1
01JUN2026;01JUN2026:09:28:49.423000;1
01JUN2026;01JUN2026:09:28:59.371000;1
01JUN2026;01JUN2026:09:29:16.143000;1
01JUN2026;01JUN2026:09:30:12.923000;1
01JUN2026;01JUN2026:09:30:23.277000;1
01JUN2026;01JUN2026:09:31:09.527000;1
01JUN2026;01JUN2026:09:32:11.367000;1
01JUN2026;01JUN2026:09:33:16.174000;1
01JUN2026;01JUN2026:09:34:56.492000;1
01JUN2026;01JUN2026:09:35:14.144000;1
01JUN2026;01JUN2026:09:35:54.308000;1
01JUN2026;01JUN2026:09:36:02.097000;1
01JUN2026;01JUN2026:09:37:25.366000;1
01JUN2026;01JUN2026:09:37:43.386000;1
01JUN2026;01JUN2026:09:39:09.335000;1
01JUN2026;01JUN2026:09:39:22.442000;1
01JUN2026;01JUN2026:09:40:02.163000;1
01JUN2026;01JUN2026:09:40:24.204000;1
01JUN2026;01JUN2026:09:40:49.149000;1
01JUN2026;01JUN2026:09:41:10.194000;1
01JUN2026;01JUN2026:09:41:26.680000;1
01JUN2026;01JUN2026:09:42:04.221000;1
01JUN2026;01JUN2026:09:42:09.749000;1
01JUN2026;01JUN2026:09:42:40.426000;1
01JUN2026;01JUN2026:09:42:54.249000;1
01JUN2026;01JUN2026:09:43:23.319000;1
01JUN2026;01JUN2026:09:44:32.348000;1
01JUN2026;01JUN2026:09:45:44.163000;1
01JUN2026;01JUN2026:09:45:46.385000;1
01JUN2026;01JUN2026:09:46:07.263000;1
01JUN2026;01JUN2026:09:46:34.362000;1
01JUN2026;01JUN2026:09:47:35.636000;1
01JUN2026;01JUN2026:09:47:48.195000;1
01JUN2026;01JUN2026:09:47:58.358000;1
01JUN2026;01JUN2026:09:48:02.945000;1
01JUN2026;01JUN2026:09:48:25.170000;1
01JUN2026;01JUN2026:09:48:30.983000;1
01JUN2026;01JUN2026:09:49:17.506000;1
01JUN2026;01JUN2026:09:49:44.256000;1
01JUN2026;01JUN2026:09:50:12.581000;1
01JUN2026;01JUN2026:09:51:05.851000;1
01JUN2026;01JUN2026:09:51:12.170000;1
01JUN2026;01JUN2026:09:51:24.895000;1
